procesado_para
ADVANTAGE
ADVANTAGE / PEDCO / HANWHA / HYUNDAI
AGUAYTIA ENERGY DEL PERU S.R.L.
ALTAMESA ENERGY CANADA I.N.C
AMERADA HESS CORPORATION
AMERICAN INTERNATIONAL PETROLEUM CORPORATION
AMOCO PERU PETROLEUM CO.
ANADARKO
ANDEAN ENERGY CORP. S.A.
ANDES PETROLEUM (JAPAN)
ANTILLES OIL AND GAS PERU S.A.C.
ARCO PERU CORPORATION
ATLANTIC RICHFIELD (ARCO)
ATLANTIC RICHFIELD COMPANY (ARCO)
BARRETT
BARRETT RESOURCES CORPORATION SUCURSAL DEL PERU
BELCO PETROLEUM CORP.
BHDC DE PERU S.A.C.
BPZ EXPLORACION Y PRODUCCION S.R.L.
BRITISH PETROLEUM PERU LTD.
BURLINGTON RESOURCES
"CEPSA PERÚ S.A.- SUCURSAL DEL PERÚ"
CHEVRON
CHEVRON SAN JORGE S.A.
CIA. PETROLERA RIO BRAVO
CNPC PERU S.A.
COASTAL OIL & GAS CORPORATION
COASTAL PERU LTD.
COMPAGNIE GENERALE GEOPHYSIQUE
CONOCOPHILLIPS COMPANY
CORPORACION NACIONAL DE PETROLEO DE CHINA S.A.
DEMINEX DEUTSCH H.
DTP LABORATORIOS S.R.L.
ELF AQUITAINE/ ELF HYDROCARBURES PEROU
EMPRESA PETROLERA FISCAL
EMPRESA PETROLERA UNIPETRO
ENTERPRISE OIL EXPLORATION LTD
FRONTERA ENERGY
GETTY OIL INC
GLOBAL PETROLEUM S.A
GOLD OIL PERU S.A.C.
GOLD OIL PLC
GRAN TIERRA ENERGY PERU SRL.
GRANA Y MONTERO PETROLERA S.A.
GREAT WESTERN LIMITED
HAMILTON BROTHERS
HISPANOIL SUCURSAL DEL PERU
HUNT OIL EXPLORATION AND PRODUCTION COMPANY PERÚ
INTERNATIONAL PETROLEUM COMPANY
INTEROIL PERÚ S.A.
ION GEOPHYSICAL CORPORATION
KAL ENERGY S.A.C
"KAROON PERU PTY LTD.-SUCURSAL DEL PERU"
KEI PTY LTD. SUCURSAL DEL PERU
MAPLE / AGUAYTIA ENERGY
MAPLE GAS CORPORATION DEL PERU S.R.L.
MERCANTILE PERU OIL AND GAS
MOBIL
MOBIL OIL COMPANY
MOCHE ENERGY
MURPHY PERU OIL CO. SUC. PERU.
NUEVO ENERGY COMPANY
OCCIDENTAL DEL AMAZONAS INC. SUCURSAL DEL PERU
OCCIDENTAL PETROLEUM
OCCIDENTAL PETROLEUM CORPORATION OF PERU
Oceanic Exploration Co
"OLYMPIC PERU INC.- SUCURSAL DEL PERU"
PACIFIC RUBIALES ENERGY
PACIFIC STRATUS ENERGY
"PAN ANDEAN RESOURCES PLC- SUCURSAL DEL PERU"
PANENERGY EXPLORACION & PRODUCCION PERU
PANGAEA (PERU) ENERGY LLC.
PERENCO PERU PETROLEUM LIMITED
PEREZ COMPANC
PERU CITIES SERVICE INC.
PERUVIAN SUN OIL COMPANY
PETROANDES
PETROBRAS ENERGIA PERÚ S.A.
PETROLEOS DE LA SELVA S.A.C.
PETROLEOS DEL PERU S.A.
PETROLERA ARGENTINA SAN JORGE
PETROLERA MONTERRICO S.A.
PETROLIFERA PETROLEUM DEL PERU S.A.
PETROMINEROS DEL PERU
PETROTAL PERU S.R.L.
PETROTECH PERUANA S.A.
PETROTORO INC.
"PETROVIETNAM EXPLORATION- SUCURSAL PERUANA (PVEP)"
PETTY RAY GEOPHYSICAL
PGS ONSHORE
PHILLIPS PETROLEUM COMPANY
PITKIN PETROLEUM PERU XXVIII S.A.C.
PLUSPETROL
PLUSPETROL NORTE S.A.
PLUSPETROL PERU CORPORATION S.A.
"QUINTANA MINERALS PERU LLC.- SUCURSAL PERUANA"
RAMSHORN INTERNATIONAL LIMITED SUC. PERU
REPSOL EXPLORACION PERU SUCURSAL DEL PERU
REPSOL SA
REPSOL YPF PERU
RIBIANA
RIO BRAVO OIL INC
"SAPET DEVELOPMENT PERU INC.- SUCURSAL DEL PERU"
SAPET-BGP
SAVIA PERU S.A.
SHELL EXPLORADORA Y PRODUCTORA DEL PERU B.V.
SHELL Y MOBIL
SIGNAL PETROLEUM COMPANY
SK ENERGY
SK INNOVATION SUCURSAL PERUANA
SUBANDEAN
"TALISMAN PERÚ B.V.- SUCURSAL DEL PERÚ"
TECPETROL DEL PERU S.A.C.
THE BRITISH PETROLEUM CO. LTD.
TOTAL COMPAGNIE FRANCAISE DU PETROLES
TULLOW OIL
TULLOW OIL PLC
UNIPETRO ABC S.A.C.
UPLAND OIL & GAS LLC
"UPLAND OIL AND GAS LLC.- SUCURSAL DEL PERÚ"
VERAZ PETROLEUM PERU
VETRA PERU S.A.C
VETRA PERU S.A.C.
VIETNAM AMERICAN EXPLORATION COMPANY
YACIMIENTO PETROLIFEROS FISCALES BOLIVIANOS
ZEUS ENERGY SAC
