NombreRegistro
CEMENT BOND LOG
COMPENSATED NEUTRON LOG
NEUTRON POROSITY LOG
NEUTRON LOG
RADIOACTIVE TRACER LOG
TEMPERATURE LOG
RESISTIVITY
CASING COLLAR AFTER PERFORATING LOG
COMPOSITE
RATE OF PENETRATION
COLLAR LOG
CASING COLLAR LOG
CASING INSPECTION LOG
FORMATION TESTER LOG
GAMMA RAY LOG
COMPUTED FROM DIRECT DIGITAL WELL LOG
RESISTIVITY 
RADIOACTIVE TRACER LOG 
RBT-GR-CCL LOG
REGISTRO CBL-VDL-GR-CCL
NEUTRON
RADIOACTIVITY LOG
ACOUSTIC CEMENT BOND LOG-GAMMA RAY-CCL LOG
FACTOR DE FORMACION
CBL-VDL-GR-CCL LOG
NUCLEAR LOG MD MCG-MDN-MPD
GAMMA RAY CORRELATION FOR TCP
CBL-VDL-CCL
RATIOS-SPECTR.NATURAL DE GR
"NEUTRON COMPENSADO, CCL"
SIMULTANEOUS GAMMA RAY-NEUTRON
USIT-DSLT-CCL-GR
COMPENSATED DENSITY
CNL-CCL-LOG
NEUTRON COMPENSADO CCL
PERFORATING RECORD
CNL-GR-CCL LOG
REGISTRO GR-CCL-CNL
CNL-FDC POROSITY LOG FD
"CNL-GR-CCL LOG - AA11638D - 2""""/100'"
CNL-CCL
CNL - CCL
GAMMA RAY NEUTRON
GAMMA RAY-CCL
CCL-GR-CNL
GAMMA RAY CEMENT BOND WITH WAVE TRAIN DISPLAY
CEMENT BONG LOG GAMMA RAY
GR-CCL PBMS
CCL-GR-CNL-1:240
IBC-IS-CBL-VDL-GR-CCL IBC HYDRAULIC COMMUNICATION-MAP 5 IN
PERFO RECORD HSD 4.5
NUCLEAR LOG (MPD-MDN-MCG)
PEX-HRLT-IS-GR-SP  INCLINOMETRY PRESENTATION
GR-CCL DST NRO 7
cnpc_ea11767d_cbl_vdl_gr_ccl_2
RBT-GR-CCL LOG-13316D-2/100
CBL-VDL-GR-CCL
CCL AND PERFORATING
USIT-CBL-VDL
GAMMA RAY NEUTRON LOG
EPT POROSITY PLAYBACK
PRESSURE LOG
GAMMA RAY - NEUTRON
PRODUCTION LOGGING LOG
CASING COLLAR LOG AND PERFORATING RECORD 
NEUTRON COMP GR CCL
LDL-CNL-GR
CXD COMPRESSIONAL-SHEAR INTERPRETATION RESULTS
ISOLATION SCANNER LOG IBC-CBL-VDL-CCL-GR TVD
USIT CEMENT LOG (MD)
USIT LOG (TVD)
USIT LOG - CORROSION MODE - USIT -GR-CCL MD
PEX-HALS-GR-SP NUCLEAR PRESENTATION
NUCLEAR LOG MCG-MDN-MPD (MD)
LDL-CNLGR
CORRELATION LOG CCL PRESENTATION
GAMMA RAY CEMENT BOND LONG
CCL-GR-CBL-VDL
PEX-HRLT-GR-SP RESISTIVITY LINEAL PRESENTATION 5
REGISTRO GR-CCL-CNL ESCALA 1/600
REGISTRO GR-CCL-CBL-VDL ESCALA 1/600
NUCLEAR LOG 5/100
CEMENT BOND LOG-VDL-CCL-GR
CASING COLLAR LOG AND PERFORATING RECORD
CEMENT BONG LOG
PLATFORM EXPRESS PRESENTATION TLD-CNL-GR
GAMMA RAY-NEUTRON
COMPENSATED DENSITY-COMPENSATED NEUTRON LOG
CCL/PERFORATING RECORD
RBT-GR-CCL LOG-14730D-5/100
CBL-VDL-GR
CNPC_AA11412D_CBL2_18MARZO2019
CEMENT BOND LOG DSLT-CCL-GR (MD)
CORRELATION LOG GR-CCL
NEUTRON POROSITY LOG (ANALYSIS BEHIND CASING) PPC-HGNS-PPC (MD)
CNL-TLD-HRLT-IS-GR-SP  RESISTIVITY LINEAR PRESENTATION
SHOOTING & GR
CCL CHECK
AIT-PEX-CMR-NGT-NUCLEAR LOG
TEMPERATURE SURVEY
MULTI ARM CALIPER 60 ARMS
NUCLEAR PRESENTATION LOG
GR-CCL-CNL
GR-CNL-CCL LOG
NEUTRON CONPENSADO-CCL
"RBT-GR-CCL LOG  - SAP-LEONES-VI-41-15426D - 2""/100'"
GR-CCL-CBL-VDL 1:600
"HIGH DEFINITION INDUCTION LOG,COMPENSATED Z-DENS,COMPENSATED NEUTRON,GR LOG, HEXAGONAL CALIPER LOG"
"RBT-GR-CCL LOG  - SAP-LEONES-VI-41-15428D - 2""/100'"
COMPENSATED DENSITY LOG
NEUTRON - GAMMA RAY - CCL
CBL-VDL-CCL-GR
FMI-HNGS-PPC FULLBORE MICRORESISTIVITY IMAGE LOG
GR CBL WITH SEISMIC SPECTRUM DISPLAY
NUCLEAR PRESENTATION TLD-CNL-CAL-GR
