Curvas
"TT, CCL, CBL, VDL"
"GR, CCL, NPHI, LSC, SSC"
"GR, NPHI, CCL"
"TT, CCL, CBL, VDL"
"GR, CCL, TT, CBL, VDL"
"TT, CCL, CBL, VDL"
"GR, CCL, TT, CBL, VDL"
"TT, CCL, CBL, VDL"
"GR, CCL, NPHI, LSC, SSC"
"GR, CCL, TT, CBL, VDL"
"GR, CCL, TT, CBL, VDL"
"TT, CCL, CBL, VDL"
"GR, CCL, TT, CBL, VDL"
"GR, CCL, RATIO, FCNL"
"NEUTRON, CCL"
"GR, CCL, CNLSC, CNSSC"
"GR, CCL, TT, CBL, VDL"
"NEUTRON, CCL"
"CCL, TIME, DEPTH, Q, QC"
"CCL, TIME, DEPTH, Q, QC"
"GR, CCL, TT, CBL, VDL"
"NEUTRON, CCL, GR"
"GR, CCL, TT, CBL, VDL"
"GR, CCL, NEUTRON, CBL, TT3, VDL"
"GR,NEUTRON,CCL"
"CCL, TIME, DEPTH, Q, QC"
"GR, CCL, TT, CBL, VDL"
"NEUTRON, CCL"
"GR, NEUTRON, CCL"
"GR, CCL, TT, CBL, VDL"
"GR, CCL, TT, CBL, VDL"
"CCL, GRADIENT, DIFFERENTIAL TEMPERATURE"
"GR, CCL, TT, CBL, VDL"
"GR, CCL, NPHI, LSC, SSC"
"CCL, TIME, DEPTH, Q, QC"
"CCL, TIME, DEPTH, Q, QC"
"GR, NEUTRON, CCL"
"ROP, GR, H12A, H34A, L12A, H12P, H34P, L12P"
"GR, CCL ,NEUTRON"
"NEUTRON, CCL"
CCL
"GR, CCL, NPHI, LSC, SSC"
"GR, LITHO, CCL, SW, TEMP, DPHI, "
"GR, CCL, NPHI, LSC, SSC"
"GR, CCL, NPHI"
"GR,CCL,RATIO,CFTC, CNTC, NPL, NPHI, NPOR"
"GR, CCL, NPHI"
"CCL, TIME, DEPTH, Q, QC"
"GR, CCL, TT, CBL, VDL"
ROP
"CCL, TIME, DEPTH, Q, QC"
"GR, NEUTRON, CCL"
"NEUTRON, CCL"
"GR,TT,CCL,CBL,VDL"
"CCL, TIME, DEPTH, Q, QC"
"CCL, GRADIENT, DIF TEMP"
"AMP, CCL, FDSN, GR, NDSN. TT"
TEMP
"NEUTRON, CCL"
"TEMP, CCL"
"GR, CCL"
"GR, CCL"
"GR, CCL"
"GR, CCL, NPHI, LS, SS"
"GR, CCL, TT, CBL, VDL"
CCL
"CCL, CNLS, CNSSC, CNLSC, GR     "
"NEUTRON, CCL"
"CCL, GR, CALI, CSMX, CSMN, CBL, VDL"
"GR, CCL, NPHI, LS, SS"
"CCL, TIME, DEPTH, Q, QC"
"GR, CCL"
"CCL, CNLS, CNSSC, CNLSC, GR"
"NEUTRON, CCL"
"CCL, SGR, RB, CALI, BS, ECCE, CSMX, CSMN"
"NEUTRON, CCL"
"CCL, TIME, DEPTH, Q, QC"
"GR, CCL"
CCL
"GR, CCL"
"CCL, GR"
"NEUTRON, CCL"
"NEUTRON, CCL"
"CCL, TIME, DEPTH, Q, QC"
"DEPTH, CCL,CFTC, CNTC, GR, NPHI, NPL, NPOR"
"GR, NEUTRON, CCL"
"GR, CCL, TT3, CBL, VDL"
"CCL,GR,TTSL,TT,CBL,VDL"
"GR, CCL, TT, AMPLITUDE, VDL"
"GR, CCL, NPHI, LSC, SSC"
"GR, CCL, NEUTRON"
"GR, CCL, NPHI, LSC, SSC"
"NEUTRON, CCL"
"CCL, TIME, DEPTH, Q, QC"
CCL
"CCL, NEUTRON"
"GR,CCL, NEUTRON, FCR"
"GR, CCL, TT, CBL, VDL"
"GR, NEUTRON, CCL"
"GR, CBL, CCL"
"CCL, TIME, DEPTH, Q, QC"
"GR, NEUTRON, CCL"
"GR, NEUTRON, CCL"
"GR,NEUTRON,CCL"
"CCL,NEUTRON"
"GR, NEUTRON, CCL"
"GR, NEUTRON, CCL"
"GR, CCL, TT, CBL, VDL"
"ROP, GR, H12A, H34A, L12A, H12P, H34P, L12P"
ROP
"ROP, GR, RES, "
"GM, CBL, CCL"
TEMPERATURE
"GR, CCL, TT, CBL, VDL"
"GR, CCL, TT, CBL, VDL"
"GR, NEUTRON, CCL"
"CCL, TIME, DEPTH, Q, QC"
GR
"RHGF, MSI, RT, RO, PHIE, SW, VW, DCAL"
"GR, CBL, CCL"
"GR, CCL, TT, CBL, VDL"
"CCL, TIME, DEPTH, Q, QC"
"GR, NEUTRON, CCL"
"ROP, GR, RES, "
"GR, CCL, NPHI, LSC, SSC"
